,country,lat,lon
0,"(Côte d’Ivoire, (7.9897371, -5.5679458))",7.9897371,-5.5679458
1,"(Italia, (42.6384261, 12.674297))",42.6384261,12.674297
2,"(United States of America, (39.7837304, -100.4458825))",39.7837304,-100.4458825
3,"(South Africa, (-28.8166236, 24.991639))",-28.8166236,24.991639
4,"(Philippines, (12.7503486, 122.7312101))",12.7503486,122.7312101
5,"(République démocratique du Congo, (-2.9814344, 23.8222636))",-2.9814344,23.8222636
6,"(Gabon, (-0.8999695, 11.6899699))",-0.8999695,11.6899699
7,"(South Sudan, (7.8699431, 29.6667897))",7.8699431,29.6667897
8,"(Uganda, (1.5333554, 32.2166578))",1.5333554,32.2166578
9,"(England, United Kingdom, (52.7954791, -0.540240236617))",52.7954791,-0.540240236617
10,"(Россия, (64.6863136, 97.7453061))",64.6863136,97.7453061
